,A,B,C,D
0,1,1,0,0
1,1,1,1,1
2,1,0,0,1
3,0,0,0,0
4,0,1,1,1
5,0,1,0,1
6,0,0,1,1
7,0,1,0,0
8,0,0,1,1
9,0,1,1,0
10,0,1,0,1
11,1,1,0,1
12,1,1,0,1
13,0,1,1,1
14,1,1,0,1
15,1,0,1,1
16,0,0,0,1
17,1,1,0,0
18,0,0,0,0
19,0,1,1,0
20,1,1,1,1
21,0,1,1,1
22,1,1,1,0
23,0,0,1,1
24,1,1,0,0
25,1,1,0,0
26,1,0,1,1
27,1,1,1,1
28,0,0,0,1
29,1,1,0,1
30,1,1,0,1
31,0,1,1,1
32,0,0,1,1
33,0,0,1,1
34,0,0,1,0
35,0,1,1,1
36,1,1,1,1
37,1,1,1,1
38,1,1,0,0
39,1,0,1,1
40,0,0,0,0
41,0,0,0,0
42,1,1,0,1
43,0,1,0,0
44,1,0,1,1
45,1,0,0,1
46,1,1,1,1
47,0,0,1,1
48,0,0,1,1
49,1,0,0,0
50,1,0,0,1
51,1,1,0,1
52,1,1,0,1
53,1,0,1,1
54,1,1,0,1
55,1,0,0,0
56,1,0,1,1
57,0,0,0,1
58,1,1,1,1
59,0,1,0,0
60,0,1,0,1
61,0,1,0,0
62,0,1,1,1
63,1,0,1,1
64,0,1,1,1
65,1,0,1,1
66,0,1,0,0
67,0,1,1,1
68,1,1,0,1
69,0,1,0,0
70,0,0,1,1
71,0,1,1,0
72,1,0,1,0
73,1,1,0,1
74,1,1,0,1
75,0,0,1,1
76,0,1,1,1
77,0,1,1,1
78,0,0,0,0
79,1,1,0,1
80,1,0,0,0
81,1,1,0,1
82,0,1,1,1
83,1,0,0,1
84,0,1,0,1
85,0,1,1,1
86,0,1,1,1
87,1,1,0,0
88,1,0,1,1
89,1,0,1,1
90,0,1,1,1
91,0,1,0,1
92,0,0,1,0
93,0,1,0,0
94,0,0,0,0
95,1,0,1,1
96,1,1,0,1
97,1,1,1,1
98,1,0,1,1
99,0,1,1,1
100,1,1,1,1
101,1,0,1,1
102,1,1,1,1
103,1,0,0,1
104,1,1,1,1
105,0,1,1,1
106,0,0,0,1
107,1,0,0,0
108,0,0,1,1
109,1,1,0,1
110,1,0,0,0
111,0,0,0,1
112,0,1,1,1
113,0,1,0,0
114,1,0,1,1
115,1,0,1,1
116,1,0,0,1
117,1,1,1,1
118,0,0,0,0
119,1,0,0,1
120,1,1,1,1
121,0,0,0,0
122,0,0,1,1
123,0,1,0,0
124,0,1,0,0
125,1,1,1,1
126,0,1,0,0
127,1,1,1,1
128,1,0,1,1
129,0,0,0,0
130,0,0,1,0
131,1,0,0,1
132,1,0,0,1
133,1,0,0,1
134,0,1,0,1
135,0,0,0,0
136,0,0,1,1
137,1,1,1,1
138,0,0,1,1
139,0,0,0,0
140,1,0,1,1
141,1,1,1,0
142,1,1,0,1
143,1,1,1,0
144,1,0,0,0
145,1,1,1,1
146,1,1,1,1
147,0,1,0,0
148,1,1,1,1
149,1,0,1,1
150,1,0,1,1
151,0,1,0,0
152,1,0,1,1
153,0,0,0,1
154,1,0,1,1
155,1,1,1,1
156,0,0,0,0
157,1,0,1,1
158,1,0,1,1
159,1,1,0,1
160,0,0,0,0
161,1,1,1,1
162,0,1,1,1
163,0,1,0,1
164,1,1,0,1
165,0,1,1,1
166,0,1,0,0
167,1,0,0,0
168,1,0,1,1
169,0,1,1,1
170,1,0,0,0
171,0,1,1,1
172,0,0,1,1
173,0,1,0,1
174,0,0,0,0
175,0,1,1,1
176,0,1,0,1
177,1,1,1,1
178,0,0,0,0
179,0,0,1,1
180,0,0,1,1
181,1,1,0,1
182,0,0,0,0
183,1,1,1,1
184,0,1,1,0
185,0,1,0,0
186,1,0,0,1
187,1,1,1,1
188,0,1,1,1
189,1,1,0,0
190,1,0,1,1
191,0,1,1,1
192,0,0,1,1
193,1,0,1,1
194,1,1,1,1
195,0,1,1,1
196,0,1,0,1
197,1,0,0,1
198,1,1,0,1
199,0,1,1,1
200,1,0,1,1
201,0,0,0,1
202,0,0,1,1
203,0,0,0,1
204,1,1,1,1
205,1,1,0,1
206,1,1,0,0
207,0,1,0,1
208,1,0,0,1
209,0,1,1,1
210,0,1,0,1
211,0,1,1,0
212,1,1,0,1
213,1,1,0,0
214,1,0,1,1
215,1,1,0,1
216,1,0,0,1
217,0,1,1,1
218,1,1,0,1
219,0,0,0,0
220,0,1,1,1
221,0,0,1,1
222,1,0,0,0
223,0,1,0,1
224,1,0,0,1
225,0,0,0,1
226,1,0,1,1
227,1,1,1,1
228,0,1,0,0
229,0,1,0,1
230,0,0,1,1
231,0,1,1,1
232,1,1,1,1
233,1,1,1,1
234,0,0,1,1
235,1,0,0,1
236,0,0,0,1
237,0,1,0,0
238,0,1,0,1
239,1,0,1,1
240,0,0,1,1
241,0,1,0,1
242,0,1,0,1
243,1,0,1,1
244,1,0,0,1
245,0,0,0,1
246,1,1,1,1
247,1,0,1,1
248,0,0,1,1
249,0,0,1,1
250,1,1,1,1
251,0,1,1,1
252,1,0,1,1
253,0,1,1,1
254,0,1,1,1
255,0,0,1,0
256,0,1,1,1
257,1,1,0,0
258,0,1,0,0
259,1,0,1,1
260,1,1,1,1
261,1,1,1,1
262,1,0,1,1
263,1,0,1,1
264,1,1,1,1
265,0,1,1,1
266,0,0,1,1
267,1,1,0,1
268,0,1,0,0
269,1,1,1,1
270,0,0,1,1
271,1,1,0,1
272,0,0,0,1
273,0,1,0,0
274,1,1,0,0
275,0,0,0,1
276,0,0,0,1
277,0,1,0,0
278,1,0,0,1
279,1,0,0,1
280,1,0,0,1
281,0,1,0,1
282,1,1,0,0
283,1,1,1,1
284,1,0,1,1
285,0,0,0,0
286,1,1,1,0
287,1,1,0,0
288,0,0,1,1
289,0,1,0,1
290,0,1,0,0
291,1,1,0,1
292,0,0,1,1
293,1,1,0,1
294,1,1,1,1
295,1,0,1,1
296,1,1,1,1
297,0,1,1,1
298,0,1,0,1
299,0,1,1,1
300,1,0,1,1
301,1,1,1,1
302,1,1,0,1
303,0,0,1,0
304,0,1,0,0
305,1,0,0,0
306,1,1,0,1
307,0,0,1,1
308,1,1,1,1
309,1,0,0,1
310,0,1,1,1
311,1,1,0,0
312,1,0,1,1
313,0,1,0,0
314,1,0,1,1
315,1,0,1,1
316,0,1,0,0
317,1,0,1,1
318,0,0,1,1
319,1,0,1,1
320,0,1,1,1
321,0,1,1,1
322,1,1,1,1
323,0,0,1,1
324,1,0,0,0
325,0,0,1,1
326,0,1,1,1
327,0,0,1,1
328,1,0,1,1
329,1,1,0,1
330,0,0,0,1
331,1,0,1,1
332,0,1,0,1
333,1,0,0,1
334,1,1,0,1
335,1,0,0,1
336,1,1,0,1
337,0,1,1,1
338,1,1,1,1
339,1,0,1,1
340,0,0,1,1
341,1,0,0,1
342,1,0,0,1
343,0,1,0,0
344,1,1,0,1
345,0,0,0,0
346,0,1,1,1
347,1,1,0,1
348,0,0,1,1
349,1,0,0,1
350,0,1,0,1
351,0,1,0,0
352,0,0,1,1
353,0,0,1,1
354,1,1,1,1
355,1,0,0,0
356,0,0,1,1
357,0,1,1,1
358,1,0,0,1
359,1,1,0,0
360,0,0,0,1
361,0,0,0,0
362,0,0,0,0
363,0,1,1,1
364,0,1,0,1
365,1,0,1,1
366,1,0,0,1
367,0,1,1,1
368,1,0,0,1
369,0,1,0,0
370,0,0,0,1
371,1,1,1,1
372,0,0,0,1
373,1,1,0,0
374,1,0,0,0
375,1,0,1,1
376,1,0,0,1
377,0,0,0,0
378,0,1,1,1
379,0,1,0,0
380,1,1,0,1
381,1,0,1,0
382,0,1,1,1
383,1,1,1,1
384,1,0,0,1
385,1,1,0,1
386,0,1,1,1
387,0,0,0,1
388,0,0,0,0
389,1,0,1,1
390,0,0,0,1
391,0,1,0,1
392,1,0,1,1
393,1,1,0,1
394,0,1,1,1
395,1,0,1,1
396,0,1,1,1
397,1,1,0,0
398,1,1,1,1
399,0,0,0,1
400,0,1,0,0
401,1,1,1,1
402,1,0,1,1
403,1,0,0,1
404,0,0,0,1
405,0,0,1,0
406,1,0,0,1
407,1,0,1,1
408,1,1,0,1
409,0,1,0,0
410,0,1,0,1
411,1,0,0,1
412,1,0,0,0
413,0,1,1,1
414,1,0,1,1
415,1,1,1,1
416,1,0,0,1
417,0,1,1,1
418,0,0,1,1
419,1,1,0,1
420,1,0,0,1
421,0,1,1,1
422,0,0,1,1
423,0,1,0,1
424,1,0,0,1
425,0,1,0,0
426,1,0,1,1
427,0,0,1,1
428,1,1,1,1
429,0,1,1,1
430,0,0,1,1
431,1,1,1,1
432,0,1,1,1
433,1,0,1,1
434,0,1,1,1
435,1,1,0,0
436,0,1,1,1
437,0,0,0,1
438,1,0,0,1
439,0,1,0,0
440,0,1,1,1
441,0,0,1,1
442,1,1,0,0
443,1,1,1,1
444,1,1,1,1
445,0,1,0,0
446,1,1,1,1
447,1,0,0,1
448,0,0,1,0
449,0,0,0,1
450,0,1,0,0
451,0,1,0,1
452,0,0,0,0
453,0,0,0,0
454,1,1,1,1
455,1,0,1,1
456,1,1,1,1
457,0,0,1,1
458,1,0,1,1
459,0,0,0,0
460,1,0,0,1
461,0,0,0,1
462,1,1,1,1
463,0,0,1,0
464,0,0,0,0
465,0,0,1,1
466,1,1,1,1
467,1,0,1,0
468,0,1,0,1
469,0,0,1,1
470,1,1,0,1
471,0,0,1,1
472,0,0,1,1
473,0,0,1,1
474,0,1,1,1
475,0,0,0,1
476,0,1,1,1
477,1,0,0,1
478,1,1,0,0
479,1,0,1,1
480,0,0,1,0
481,0,1,0,0
482,1,1,0,1
483,1,1,1,1
484,1,1,0,1
485,1,0,0,1
486,0,1,1,0
487,1,1,1,1
488,0,0,0,1
489,1,1,0,0
490,0,0,0,0
491,0,1,1,1
492,1,1,1,1
493,0,1,0,0
494,1,1,1,1
495,1,1,0,0
496,1,1,1,1
497,1,1,1,1
498,1,1,1,1
499,0,1,1,1
500,1,0,1,1
501,0,1,0,1
502,0,0,0,1
503,0,0,0,1
504,0,1,1,1
505,1,1,0,0
506,0,1,0,0
507,0,0,0,0
508,1,1,0,1
509,0,1,1,1
510,0,1,1,1
511,1,1,1,1
512,0,0,1,1
513,0,1,1,1
514,1,0,0,1
515,1,1,0,1
516,0,1,0,0
517,1,1,1,1
518,1,0,1,1
519,1,1,0,1
520,0,1,1,1
521,0,0,0,0
522,0,0,0,1
523,0,1,1,1
524,0,0,1,1
525,1,0,0,1
526,1,0,1,1
527,1,0,1,1
528,0,1,0,0
529,1,1,1,1
530,1,0,0,1
531,1,1,1,1
532,0,0,1,1
533,0,1,0,1
534,1,1,1,1
535,0,1,0,1
536,1,0,0,1
537,1,1,1,1
538,1,1,1,1
539,1,0,0,1
540,1,1,0,0
541,1,0,1,1
542,1,0,0,0
543,1,0,0,1
544,0,0,1,0
545,0,1,0,1
546,0,1,1,1
547,0,1,1,1
548,0,0,1,1
549,1,1,0,1
550,1,1,1,1
551,0,1,1,1
552,0,1,1,1
553,1,1,1,1
554,1,0,1,1
555,1,0,0,1
556,1,0,1,1
557,0,0,0,1
558,0,0,0,1
559,1,1,0,1
560,1,1,0,0
561,0,0,1,1
562,1,0,0,1
563,0,1,1,1
564,1,1,1,1
565,1,0,0,1
566,1,0,1,1
567,0,0,0,1
568,0,0,1,0
569,1,1,1,1
570,1,0,1,1
571,0,1,1,1
572,0,1,1,1
573,1,1,1,1
574,1,0,0,1
575,0,0,0,0
576,1,0,0,1
577,1,0,0,0
578,0,0,0,1
579,0,0,1,1
580,0,0,1,1
581,1,1,1,1
582,0,1,1,0
583,1,0,1,1
584,0,0,0,1
585,0,1,0,0
586,1,1,0,0
587,0,0,0,1
588,1,0,0,1
589,1,0,1,1
590,1,0,1,1
591,0,1,1,1
592,0,1,0,0
593,1,1,1,1
594,0,1,0,1
595,0,1,1,1
596,0,1,1,1
597,0,1,0,0
598,1,0,0,1
599,0,1,0,1
600,0,1,0,0
601,0,0,0,1
602,0,1,1,1
603,0,1,0,0
604,1,1,0,1
605,1,0,0,1
606,1,1,0,0
607,1,0,1,1
608,0,1,1,1
609,1,1,0,0
610,0,0,1,1
611,1,1,0,1
612,0,0,1,0
613,1,1,0,1
614,1,0,1,1
615,0,1,0,0
616,0,1,1,0
617,0,0,0,1
618,0,1,1,1
619,0,1,1,1
620,1,0,1,1
621,0,0,0,1
622,0,1,1,1
623,0,1,0,1
624,0,1,0,1
625,0,1,1,1
626,0,0,1,1
627,0,1,0,0
628,1,0,1,1
629,0,0,0,0
630,1,0,1,1
631,0,0,0,0
632,1,0,0,1
633,1,1,0,1
634,1,0,1,1
635,0,1,0,0
636,1,0,1,1
637,1,0,1,0
638,1,1,1,1
639,1,0,1,1
640,0,1,0,0
641,0,1,0,1
642,1,0,0,0
643,1,0,1,1
644,1,1,1,1
645,1,0,1,1
646,0,1,0,1
647,1,1,0,1
648,0,0,1,1
649,0,0,0,0
650,1,0,0,1
651,1,1,0,1
652,1,0,0,1
653,1,1,1,1
654,0,1,0,1
655,1,1,0,1
656,0,1,1,1
657,1,0,0,1
658,1,0,1,1
659,0,1,0,0
660,1,0,0,1
661,1,0,0,0
662,0,0,1,1
663,1,1,1,1
664,1,1,1,1
665,1,0,1,1
666,0,1,0,0
667,0,0,0,0
668,1,0,0,1
669,0,0,1,0
670,0,0,1,1
671,0,0,0,1
672,1,0,1,1
673,1,0,1,1
674,0,0,0,1
675,1,1,1,1
676,1,0,0,0
677,0,1,0,1
678,1,1,0,1
679,1,1,1,1
680,0,0,1,1
681,1,1,0,1
682,0,0,1,1
683,0,1,1,1
684,1,0,1,1
685,1,1,0,1
686,0,0,1,1
687,0,1,1,1
688,0,0,0,1
689,1,1,1,1
690,1,1,1,1
691,1,0,0,1
692,0,0,1,1
693,1,0,0,0
694,0,0,0,1
695,1,1,0,1
696,1,0,0,0
697,0,0,1,0
698,1,1,0,0
699,0,0,0,1
700,1,1,1,1
701,0,0,0,0
702,1,0,0,0
703,1,1,1,1
704,0,1,0,0
705,1,0,0,1
706,1,0,0,1
707,1,0,0,1
708,1,1,1,1
709,1,0,0,1
710,1,0,1,1
711,0,1,1,0
712,0,1,1,1
713,0,0,0,0
714,1,1,0,1
715,1,1,0,1
716,1,0,0,1
717,0,1,1,1
718,0,1,1,1
719,1,0,0,1
720,0,1,1,1
721,0,0,0,1
722,1,1,0,1
723,0,0,1,1
724,1,0,1,1
725,0,0,0,1
726,0,1,1,1
727,0,1,0,1
728,1,1,1,1
729,1,0,0,0
730,0,1,0,1
731,0,0,1,1
732,0,1,1,1
733,0,1,0,0
734,1,1,1,1
735,1,1,1,1
736,0,1,1,1
737,1,0,0,1
738,0,0,0,0
739,0,0,0,1
740,0,0,0,1
741,0,1,1,1
742,0,0,0,1
743,0,1,1,1
744,1,0,1,1
745,0,1,1,1
746,1,0,0,1
747,1,1,1,1
748,0,1,0,1
749,0,1,0,0
750,1,0,0,1
751,0,0,0,0
752,0,1,1,1
753,1,0,1,1
754,0,1,0,1
755,1,0,0,0
756,0,1,0,1
757,0,0,0,1
